"用户代码","成交合约","买卖","开平","成交价格","手数","成交类型","手续费","成交时间","报单编号","交易所","合约名","成交编号","平仓盈亏(逐笔)","平仓盈亏"
"13554506590","j2601","买　","平仓","1593.0","1","普通成交","10.46","02:46:41","11ed83cc-5f72-4d02-854e-d105333654df","大商所","焦炭2601","1b3dd5c5d16e4c028df7af8187482cfa","0.00","0.00"
"13554506590","ag2602","　卖","开仓","17449","2","普通成交","24.43","02:52:30","fbca7e62-9a89-4ea2-8be4-025d07b0ad21","上期所","沪银2602","debb207e2da944489a645bb104e0e44d","0.00","0.00"
"13554506590","zn2601","买　","开仓","23190","2","普通成交","6.00","02:41:09","90639992-d787-4fb1-8ce4-5ed4593c75a1","上期所","沪锌2601","1da27e08184b4d10912e885904377e32","0.00","0.00"
"13554506590","j2601","　卖","开仓","1592.0","2","普通成交","20.91","02:46:44","2946eef6-e668-4670-93a2-b9ff6226f75a","大商所","焦炭2601","918af6ef344449c6a7ee00da4c8f73ce","0.00","0.00"
"13554506590","AP605","买　","开仓","9200","2","普通成交","40.00","02:49:16","c01fb3f1-b95b-431d-870d-0f11083add67","郑商所","苹果2605","723ca311768442439a9dd3fc9092b88c","0.00","0.00"
"13554506590","i2605","　卖","平仓","774.0","1","普通成交","7.78","02:49:16","ea4756d2-ac39-4732-b0ab-714d9151a307","大商所","铁矿2605","4f405b67e7b84a93a6069bf5175aabb4","0.00","0.00"
"13554506590","j2601","买　","平仓","1596.0","4","普通成交","41.82","01:51:14","df130785-804a-463c-8410-e3aaee1f0658","大商所","焦炭2601","d9fb50701a2742eb85252044ab1f825a","0.00","0.00"
"13554506590","i2605","　卖","平仓","774.0","1","普通成交","7.78","02:49:16","e66f507a-6b33-45c6-970d-d77693e41d45","大商所","铁矿2605","406bd8e691e9474393f26c7ab2bf8b59","0.00","0.00"
"13554506590","i2605","　卖","平仓","774.5","3","普通成交","23.33","02:41:08","66ce10e7-d323-4c3b-83c2-a3e00baee124","大商所","铁矿2605","f38134d25f84414db8db32e24cba1673","0.00","0.00"
"13554506590","j2601","买　","平仓","1597.0","1","普通成交","10.46","01:52:19","df75ee3e-7e86-48ac-a581-6a494ff86553","大商所","焦炭2601","3fd364f3a89b47e9a4dc01f903ce2bc4","0.00","0.00"
"13554506590","i2605","买　","开仓","773.5","3","普通成交","23.33","01:52:08","bdb0b985-ac24-4f07-bce5-ed97ee44b066","大商所","铁矿2605","6ef736398b9b41dc9e4efa297ea5aef5","0.00","0.00"
"","合计50条","","","","82","","691.46","","","","","","0.00","0.00"
